"Title","Publisher","Document date","Document type","Topic","Review status","Summary","Source URL","Document location and context","Access checked","Record reference","Year","Review status explanation","Research checked","Collection scope","Closure status caveat"
"School place planning report to Schools Forum","Richmond Council","2024-09-26","Planning report","Demand & housing","Reviewed","A borough-level planning report accompanying the September 2024 forum discussion. It provides the background to falling rolls and the pressure on smaller schools.","https://cabnet.richmond.gov.uk/documents/s500012384/Item%208%20School%20Place%20Planning.docx.pdf","Item 8; 14-page report. Borough context, not a school closure decision.","2026-09-21","planning-2024","2024","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Education Committee: work programme and admissions","Richmond Council","2025-06-12","Meeting","Decision process","Reviewed","Meeting records include work-programme discussion of admission-number changes for 2026/27. The position recorded at this meeting is historical and cannot establish the council's later closure plans.","https://cabnet.richmond.gov.uk/ieListDocuments.aspx?CId=800&MId=500000559&Ver=4","Education and Children's Services Committee, 12 June 2025.","2026-09-21","committee-june-2025","2025","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Schools Forum: annual place planning update","Richmond Schools Forum","2025-07-03","Meeting","Demand & housing","Reviewed","Agenda, reports and minutes covering falling primary demand and planned admission-number reductions. Useful for tracking how borough policy developed before the current closure discussion.","https://cabnet.richmond.gov.uk/ieListDocuments.aspx?CId=619&MId=500000581&Ver=4","3 July 2025 meeting, school place planning item.","2026-09-21","forum-july-2025","2025","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School place planning update: May 2025 data","Richmond Council","2025-07-03","Planning report","Demand & housing","Reviewed","This earlier 2025 report gives borough-wide capacity and application data. It records 84.5% occupancy against permanent capacity and 92.6% against temporarily reduced capacity. Use the November update for the later 2025 snapshot.","https://cabnet.richmond.gov.uk/documents/s500016559/Item%205%20-%20LBR%20SPP%20Update%20-%20Schools%20Forum%20-%203%20July%202025.docx.pdf","Item 5, 16 pages; data position May 2025.","2026-09-21","planning-july-2025","2025","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School place planning annual update: October 2025 data","Richmond Council","2025-11-13","Planning report","Demand & housing","Reviewed","Provides the borough application series and occupancy figures used here. Its illustrative 342 primary pupils from housing concern the combined eastern borough over five to ten years, not Kew Riverside alone; Kew Retail Park was paused and excluded. Housing permissions are not occupied family homes.","https://cabnet.richmond.gov.uk/documents/s500017780/6.%20School%20Place%20Planning%20Report.pdf","Item 6, 18 pages; October 2025 data, presented 13 November 2025.","2026-09-23","planning-nov-2025","2025","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Education Committee: falling rolls and closure as a last resort","Richmond Council","2025-11-13","Meeting","Decision process","Reviewed","The minutes discuss closure as a last resort while acknowledging that falling demand requires serious consideration of options. This borough-wide discussion is not a recorded decision to close Kew Riverside.","https://cabnet.richmond.gov.uk/ieListDocuments.aspx?CId=800&MId=500000561&Ver=4","Education and Children's Services Committee, 13 November 2025.","2026-09-21","committee-nov-2025","2025","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Council responsibilities for school buildings","Richmond Council","2026-05-12","Official webpage","Funding & buildings","Reviewed","Explains the council's role in school premises, including monitoring the private finance initiative and maintaining capacity information. It does not disclose the net financial consequences of a Kew Riverside closure.","https://www.richmond.gov.uk/services/children_and_family_care/schools_and_colleges/school_buildings","Page updated 12 May 2026.","2026-09-21","buildings-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"How to speak or ask questions at council meetings","Richmond Council","2026-06-17","Participation","Taking part","Reviewed","For eligible borough residents and workers, the page describes speaking and written-question arrangements. Speaking registration closes at noon on the preceding working day; written questions close at noon two working days before. Check the relevant meeting and current rules before relying on a deadline.","https://www.richmond.gov.uk/council/have_your_say/participating_in_council_meetings","Updated 17 June 2026; speaking slots and question limits apply.","2026-09-21","participation","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Closing maintained schools: statutory guidance","Department for Education","2026-09-01","Guidance","Decision process","Reviewed","Current guidance effective 1 September 2026 covers consultation, alternatives, formal proposals, representations and decisions. Its decision factors include future capacity, pupil and equality impacts, travel and funding. The sections reviewed do not identify a consultation-triggered ban on visits; any actual local instruction remains unverified.","https://assets.publishing.service.gov.uk/media/6a034409e71c4cdf4026bab8/Closing_maintained_schools_guidance_-_May_2026.pdf","May 2026 edition, 30 pages; effective 1 September 2026.","2026-09-23","guidance-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School organisation guidance: official publication page","Department for Education","2026-09-03","Directory","Decision process","Reviewed","The official landing page for maintained-school organisation guidance. Check here for replacement editions and accompanying documents.","https://www.gov.uk/government/publications/school-organisation-local-authority-maintained-schools","Publication page updated 3 September 2026.","2026-09-21","guidance-index","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School newsletter: account of a summer 2026 inspection","Kew Riverside Primary School","2026-09-18","Newsletter","School history","Reviewed","The school's account reports six of seven inspection categories at expected standard or above and safeguarding met. It distinguishes attendance concerns from positive behaviour. The full July 2026 report has now been reviewed separately in record inspection-2026; this newsletter remains a distinct school account.","https://www.kewriverside.richmond.sch.uk/attachments/download.asp?file=3621&type=pdf","Document dated Friday 18 September 2026; homepage listing used a different date.","2026-09-21","newsletter-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School profile and current website","Kew Riverside Primary School","","Official webpage","School history","Reviewed","The school describes provision for ages 4–11 and capacity for 210 pupils. Capacity is not the same as current enrolment. The site is also a route to school updates and policies.","https://www.kewriverside.richmond.sch.uk/","Live webpage checked 21 September 2026; publication date not stated.","2026-09-21","school-home","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"The school's private finance initiative arrangement","Kew Riverside Primary School","","Official webpage","Funding & buildings","Reviewed","Describes a 30-year private finance initiative (PFI) partnership begun in 2002 covering six borough primary schools, with school contributions through the local authority. It does not establish which payments would end after closure or the cost of changing the agreement.","https://www.kewriverside.richmond.sch.uk/page/?pid=348&title=Private+Finance+Initiative+(PFI)","Live school explanation; full contract and variation terms not obtained.","2026-09-21","pfi","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School financial information","Kew Riverside Primary School","","Official webpage","Funding & buildings","Reviewed","The school links to the DfE financial benchmarking service. Its historical actuals have now been retrieved separately; this school page is not an approved current budget or forecast.","https://www.kewriverside.richmond.sch.uk/page/?pid=557&title=Financial+Information","School financial information webpage, checked 21 September 2026.","2026-09-21","school-finance","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Financial benchmarking: school 133343","Department for Education","","Directory","Funding & buildings","Reviewed","The DfE service now provides Kew Riverside's reported five-year income, expenditure and revenue-balance actuals through its history pages. Those actuals do not supply the school's approved 2026/27 budget or the council's multi-year closure forecast.","https://financial-benchmarking-and-insights-tool.education.gov.uk/school/133343","School 133343 overview and historical data; underlying income, expenditure and balance series have separate records below. Financial years end in March; published values are rounded.","2026-09-23","benchmarking","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Complete official Ofsted report index","Ofsted","","Directory","School history","Reviewed","Official report index for unique reference number 133343. On 22 September 2026 it still listed the 2021 inspection as its latest full report. The full 8 July 2026 report is available on the school website and reviewed separately in record inspection-2026.","https://reports.ofsted.gov.uk/provider/21/133343","Checked 22 September 2026; a changing central index can lag the school-hosted report. Its absence here does not mean the newer report is unpublished.","2026-09-22","ofsted-index","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School newsletter archive","Kew Riverside Primary School","","Directory","School history","Reviewed","A route to dated school newsletters. Individual newsletters beyond those separately listed here have not all been reviewed. Third-party documents may include personal information; this hub does not reproduce pupils' photographs or names.","https://www.kewriverside.richmond.sch.uk/page/?pid=6&title=Newsletters","Index checked 21 September 2026.","2026-09-21","newsletter-index","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Education and Children's Services Committee","Richmond Council","","Directory","Decision process","Reviewed","Official directory of Richmond’s Education and Children’s Services Committee. On 21 September 2026 it lists Councillor Julia Cambridge as chair and Councillor Michael Wilson as vice-chair. Membership does not establish an individual’s position or vote on Kew Riverside.","https://cabnet.richmond.gov.uk/mgCommitteeDetails.aspx?ID=800","Live committee directory; committee ID 800.","2026-09-21","committee-index","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Education Committee: agendas and meeting calendar","Richmond Council","","Directory","Decision process","Reviewed","The calendar listed a meeting on 12 November 2026 at 7pm when checked. That listing alone does not confirm that Kew Riverside will be on the agenda.","https://cabnet.richmond.gov.uk/ieListMeetings.aspx?CommitteeId=800","Meeting index checked 21 September 2026; recheck dates and agenda before attending.","2026-09-21","committee-meetings","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Richmond Schools Forum","Richmond Council","","Directory","Funding & buildings","Reviewed","The forum is a route to school-funding consultation and reports. Its role should not be confused with the authority taking a closure decision.","https://cabnet.richmond.gov.uk/mgCommitteeDetails.aspx?ID=619","Live forum directory; committee ID 619.","2026-09-21","forum-index","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Petitions to Richmond Council","Richmond Council","","Participation","Taking part","Reviewed","Explains online and paper petitions and eligibility to sign. A qualifying petition with at least 500 signatures can reach the relevant committee; it does not create a veto over closure.","https://www.richmond.gov.uk/council/have_your_say/petitions","Read the linked petition scheme and current submission requirements.","2026-09-21","petitions","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Richmond Council petition scheme","Richmond Council","","Participation","Taking part","Reviewed","Detailed rules for handling petitions, including thresholds and the council's possible responses. Use this to check admissibility before collecting signatures.","https://www.richmond.gov.uk/council/have_your_say/petitions/petition_scheme","Council scheme checked 21 September 2026.","2026-09-21","petition-scheme","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Official establishment register: Kew Riverside","Department for Education","","Directory","School history","Not retrieved","The official establishment record was located, but access returned an error during collection. No current roll, status or governance claim here is based on its unread contents.","https://get-information-schools.service.gov.uk/Establishments/Establishment/Details/133343","Unique reference number 133343; direct retrieval unsuccessful.","2026-09-21","gias","Undated","Public route identified, but contents were not successfully retrieved.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Kew Riverside: official closure consultation","Richmond Council","2026-09-21","Consultation","Decision process","Reviewed","Council describes pre-statutory consultation on closure effective 1 September 2027, its financial and pupil-number rationale, a guaranteed Darell place for current pupils and transition support. Links to the leaflet, FAQ and response form. This is a proposal, not a final decision.","https://www.richmond.gov.uk/services/children_and_family_care/schools_and_colleges/school_organisation_consultations/kew_riverside_consultation","Page updated 21 September 2026. The 87-pupil figure is dated 2025/26 in the accompanying leaflet; the 2026/27 figure there is a forecast of 84.","2026-09-21","consultation-richmond","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Achieving for Children: Richmond school organisation","Achieving for Children","","Consultation","Decision process","Not retrieved","An additional official organisation-information route. The contents could not be retrieved during collection. Check the publisher directly for the live proposal and consultation documents.","https://kr.afcinfo.org.uk/pages/community-information/information-and-advice/education-and-education-services/richmond-school-organisation","Retrieval unsuccessful on 21 September 2026.","2026-09-21","consultation-afc","Undated","Public route identified, but contents were not successfully retrieved.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Kew Riverside consultation leaflet","London Borough of Richmond upon Thames","","Consultation","Decision process","Reviewed","The Kew-specific proposal gives financial and pupil-number forecasts, an alternatives explanation, a conditional timetable and response routes. Its statement that a replacement amalgamation must be a free school needs comparison with the September 2026 new-school rules and the existing-school alteration route; legal availability alone does not prove Kew feasibility. The council-linked response form gives 16 October 2026 as the deadline.","https://www.richmond.gov.uk/media/fxhbilws/kew_riverside_consultation_leaflet.pdf","8 PDF pages. PDF pages 3–6: finance, forecasting, pupil series and alternatives; page 7: timetable; page 8: event and response routes. Publication date not stated; first retrieved 21 September and rechecked 23 September 2026.","2026-09-23","consultation-leaflet","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School organisation consultations: general FAQ","London Borough of Richmond upon Thames","","Consultation","Decision process","Reviewed","General council FAQ on school organisation, forecasts, alternatives and transition. Its Q18 says applications and admissions may continue during consultation. It does not establish that open days or tours are currently available at Kew, and general explanations are not Kew-specific commitments.","https://www.richmond.gov.uk/media/prepaqcb/school_organisation_consultation_faq.pdf","14 PDF pages; Q18 on PDF page 8 (printed page 7) addresses applications and admissions. Publication date not stated; checked 23 September 2026.","2026-09-23","consultation-faq","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Kew Riverside: official consultation response form","London Borough of Richmond upon Thames","","Consultation","Decision process","Reviewed","Council-linked response form states that responses must be submitted by 16 October 2026. It asks respondent capacity, view and reasons, with optional alternatives and comments. As checked, it does not ask for a name or postcode. No response was submitted during verification.","https://docs.google.com/forms/d/e/1FAIpQLSda5oPsdUlrJkf6vACC_AjvXFR6-ki3iBymNIF5BAWNxf85xQ/viewform","Opening description supplies deadline without a closing time. Respondent form linked from the council page; checked 21 September 2026. The initial council /edit link redirects to a readable form; this is its public respondent URL.","2026-09-21","consultation-response","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Education Committee: constitutional remit","London Borough of Richmond upon Thames","","Policy","Decision process","Reviewed","Committee remit includes school place planning and admissions. Membership provision: 11 councillors, two voting diocesan members and a non-voting parent governor representative. The chair is designated Lead Member for Children’s Services. Check actual attendance, substitutions and entitlement for each meeting.","https://cabnet.richmond.gov.uk/documents/s500003893/02.09%20Education%20and%20Childrens%20Services%20Committee.pdf","3 PDF pages; membership and functions on PDF page 1; reserved matters and delegations on page 3. No document date stated; current remit linked from the committee directory.","2026-09-21","committee-remit","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
