Observation ID,Topic,Geography,Period,Measure,Evidence type,Value,Comparator,Unit,Precision,Source ID,Source URL,Locator,Qualification
council-forecast-2026/27,financial projection,Kew Riverside Primary School,2026/27,revenue reserve,council projection,,exhausted by year end,GBP,bound or qualitative statement,consultation-leaflet,https://www.richmond.gov.uk/media/fxhbilws/kew_riverside_consultation_leaflet.pdf,PDF pages 3 and 5: three-year deficit statement and Kew planning-area table,financial reserves will be fully used by the end of the 2026/27 financial year
council-forecast-2028/29,financial projection,Kew Riverside Primary School,2028/29,accumulated deficit,council projection,400000.00,greater than,GBP,bound or qualitative statement,consultation-leaflet,https://www.richmond.gov.uk/media/fxhbilws/kew_riverside_consultation_leaflet.pdf,PDF pages 3 and 5: three-year deficit statement and Kew planning-area table,"a deficit of over £400,000 by 2028/29"
unavailable-2026/27-incomePence,missing annual budget,Kew Riverside Primary School,2026/27,Income,not available,,unknown,GBP,,,,,Annual budget bridge unavailable in reviewed public records; blank is not zero.
unavailable-2026/27-expenditurePence,missing annual budget,Kew Riverside Primary School,2026/27,Expenditure,not available,,unknown,GBP,,,,,Annual budget bridge unavailable in reviewed public records; blank is not zero.
unavailable-2026/27-closingRevenueReservePence,missing annual budget,Kew Riverside Primary School,2026/27,Closing revenue reserve,not available,,unknown,GBP,,,,,Annual budget bridge unavailable in reviewed public records; blank is not zero.
unavailable-2027/28-incomePence,missing annual budget,Kew Riverside Primary School,2027/28,Income,not available,,unknown,GBP,,,,,Annual budget bridge unavailable in reviewed public records; blank is not zero.
unavailable-2027/28-expenditurePence,missing annual budget,Kew Riverside Primary School,2027/28,Expenditure,not available,,unknown,GBP,,,,,Annual budget bridge unavailable in reviewed public records; blank is not zero.
unavailable-2027/28-closingRevenueReservePence,missing annual budget,Kew Riverside Primary School,2027/28,Closing revenue reserve,not available,,unknown,GBP,,,,,Annual budget bridge unavailable in reviewed public records; blank is not zero.
unavailable-2028/29-incomePence,missing annual budget,Kew Riverside Primary School,2028/29,Income,not available,,unknown,GBP,,,,,Annual budget bridge unavailable in reviewed public records; blank is not zero.
unavailable-2028/29-expenditurePence,missing annual budget,Kew Riverside Primary School,2028/29,Expenditure,not available,,unknown,GBP,,,,,Annual budget bridge unavailable in reviewed public records; blank is not zero.
unavailable-2028/29-closingRevenueReservePence,missing annual budget,Kew Riverside Primary School,2028/29,Closing revenue reserve,not available,,unknown,GBP,,,,,Annual budget bridge unavailable in reviewed public records; blank is not zero.
pfi-school-charge-2025-26,contextual amount,Kew Riverside Primary School,2025/26,School PFI charge,reported actual,69640.00,,GBP,whole pound,kew-finance-expenditure-history,https://financial-benchmarking-and-insights-tool.education.gov.uk/api/expenditure/history?type=school&id=133343&dimension=Actuals,"Kew Riverside expenditure history, financial years ending 2022–2026","reported school expenditure, not an avoidable closure saving"
forecast-check-total-forecastPupils,forecast check,"Kew planning area 3180007; URNs 133343, 102884, 102921; nursery excluded",2025/26,Reception–Year 6: Forecast pupils,published forecast,651,,pupils,whole pupil,kew-area-forecast-2025,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/64501ba1-ae89-40e0-9cf5-552a5f1ea6d1,"2024/25 SCAP forecasts, planning_area_code 3180007, Primary, time_period 202526",Forecast vintage: 2024/25 SCAP submission; actual measured 2026-01.
forecast-check-total-actualPupils,forecast check,"Kew planning area 3180007; URNs 133343, 102884, 102921; nursery excluded",2025/26,Reception–Year 6: Actual pupils,January 2026 census,654,,pupils,whole pupil,school-census-jan-2026,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore,"January 2026 school census, URNs 133343, 102884 and 102921, Reception–Year 6",Forecast vintage: 2024/25 SCAP submission; actual measured 2026-01.
forecast-check-total-difference,forecast check,"Kew planning area 3180007; URNs 133343, 102884, 102921; nursery excluded",2025/26,Reception–Year 6: actual minus forecast,derived difference,3,,pupils,whole pupil,,,,Calculated from the two separately sourced observations; one vintage and one period.
forecast-check-reception-forecastPupils,forecast check,"Kew planning area 3180007; URNs 133343, 102884, 102921; nursery excluded",2025/26,Reception: Forecast pupils,published forecast,88,,pupils,whole pupil,kew-area-forecast-2025,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/64501ba1-ae89-40e0-9cf5-552a5f1ea6d1,"2024/25 SCAP forecasts, planning_area_code 3180007, Primary, time_period 202526",Forecast vintage: 2024/25 SCAP submission; actual measured 2026-01.
forecast-check-reception-actualPupils,forecast check,"Kew planning area 3180007; URNs 133343, 102884, 102921; nursery excluded",2025/26,Reception: Actual pupils,January 2026 census,97,,pupils,whole pupil,school-census-jan-2026,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore,"January 2026 school census, URNs 133343, 102884 and 102921, Reception–Year 6",Forecast vintage: 2024/25 SCAP submission; actual measured 2026-01.
forecast-check-reception-difference,forecast check,"Kew planning area 3180007; URNs 133343, 102884, 102921; nursery excluded",2025/26,Reception: actual minus forecast,derived difference,9,,pupils,whole pupil,,,,Calculated from the two separately sourced observations; one vintage and one period.
forecast-revision-earlierPupils,forecast revision,Kew planning area,2031/32,Earlier projection,June 2026 school organisation report,514,,pupils,whole pupil,school-organisation-june-2026,https://cabnet.richmond.gov.uk/documents/s500020721/11.%20School%20Organisation%20Report%20-%2011%20June%202026-%20Part%20A.pdf,"PDF page 4, Area 7: Kew, 2031/32 projection","Planning-area code 3180007; two forecast versions, not a forecast error."
forecast-revision-laterPupils,forecast revision,Kew planning area,2031/32,Later projection,Kew consultation leaflet,597,,pupils,whole pupil,consultation-leaflet,https://www.richmond.gov.uk/media/fxhbilws/kew_riverside_consultation_leaflet.pdf,PDF pages 3 and 5: three-year deficit statement and Kew planning-area table,"Planning-area code 3180007; two forecast versions, not a forecast error."
forecast-revision-difference,forecast revision,Kew planning area,2031/32,Later minus earlier,derived revision,83,,pupils,whole pupil,,,,Difference between two published forecasts; not measured error.
